Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,force.x,force.y,force.z,orientation.x,orientation.y,orientation.z,orientation.w,angular_velocity.x,angular_velocity.y,angular_velocity.z,aux.current_yaw,aux.kf_correction,aux.angle_corrections,aux.enable_motors,aux.use_external_yaw,kR_0,kR_1,kR_2,kOm_0,kOm_1,kOm_2
1642435579.982982,11823,1642435579,976327562,mocap,0.2729021906852722,0.0604584626853466,2.3662779331207275,-0.015864070504903793,0.05657455697655678,-0.05524720251560211,0.9967423677444458,0.19237719476222992,0.030862579122185707,0.0011770768323913217,-0.1460905820131302,0.0,"(0.0, 0.0)",True,False,1.5,1.5,1.0,0.12999999523162842,0.12999999523162842,0.10000000149011612
1642435579.9866745,11824,1642435579,984833917,mocap,0.27851301431655884,0.05877691134810448,2.3735129833221436,-0.015526247210800648,0.057586561888456345,-0.055240459740161896,0.9966900944709778,0.1846848726272583,0.03497391566634178,0.001314294757321477,-0.14752809703350067,0.0,"(0.0, 0.0)",True,False,1.5,1.5,1.0,0.12999999523162842,0.12999999523162842,0.10000000149011612
1642435579.9973357,11825,1642435579,992989281,mocap,0.27894648909568787,0.03778884559869766,2.3371870517730713,-0.011325480416417122,0.05881575122475624,-0.05545176565647125,0.9966632127761841,0.20339833199977875,0.04014661908149719,0.0011766389943659306,-0.14723649621009827,0.0,"(0.0, 0.0)",True,False,1.5,1.5,1.0,0.12999999523162842,0.12999999523162842,0.10000000149011612
1642435580.009571,11826,1642435580,6920897,mocap,0.27804291248321533,0.03408296778798103,2.3387904167175293,-0.010523778386414051,0.058630332350730896,-0.05550193414092064,0.9966801404953003,0.20880427956581116,0.033371228724718094,0.0009237932390533388,-0.14612241089344025,0.0,"(0.0, 0.0)",True,False,1.5,1.5,1.0,0.12999999523162842,0.12999999523162842,0.10000000149011612
1642435580.0162525,11827,1642435580,13172875,mocap,0.2590338885784149,0.03343566507101059,2.3603458404541016,-0.010082018561661243,0.05414453148841858,-0.05561532825231552,0.9969321489334106,0.19724571704864502,0.008743420243263245,0.0002298134786542505,-0.1468268781900406,0.0,"(0.0, 0.0)",True,False,1.5,1.5,1.0,0.12999999523162842,0.12999999523162842,0.10000000149011612
1642435580.0282395,11828,1642435580,22934750,mocap,0.26009586453437805,0.03476676717400551,2.3678157329559326,-0.010341094806790352,0.05418040603399277,-0.0556008443236351,0.996928334236145,0.18809132277965546,0.00717491190880537,0.00019233592320233583,-0.1466531604528427,0.0,"(0.0, 0.0)",True,False,1.5,1.5,1.0,0.12999999523162842,0.12999999523162842,0.10000000149011612
1642435580.038588,11829,1642435580,33728240,mocap,0.26571738719940186,0.033725835382938385,2.3697643280029297,-0.010177640244364738,0.05531686171889305,-0.055587492883205414,0.996868371963501,0.18340355157852173,0.01105783972889185,0.0002942463615909219,-0.14665386080741882,0.0,"(0.0, 0.0)",True,False,1.5,1.5,1.0,0.12999999523162842,0.12999999523162842,0.10000000149011612
1642435580.0481322,11830,1642435580,44037979,mocap,0.27386781573295593,0.02042338065803051,2.3437092304229736,-0.007570566143840551,0.057795651257038116,-0.0556870698928833,0.9967453479766846,0.19448857009410858,0.02230345644056797,0.00048345158575102687,-0.14445450901985168,0.0,"(0.0, 0.0)",True,False,1.5,1.5,1.0,0.12999999523162842,0.12999999523162842,0.10000000149011612
1642435580.057136,11831,1642435580,53589073,mocap,0.2701302766799927,0.008488018065690994,2.332498073577881,-0.005030134227126837,0.05742531269788742,-0.05583755671977997,0.9967743754386902,0.20351466536521912,0.01820826530456543,0.00030136125860735774,-0.14499224722385406,0.0,"(0.0, 0.0)",True,False,1.5,1.5,1.0,0.12999999523162842,0.12999999523162842,0.10000000149011612
1642435580.0675607,11832,1642435580,62354594,mocap,0.24900966882705688,7.526970148319378e-05,2.337491750717163,-0.0029908474534749985,0.052954867482185364,-0.056008562445640564,0.9970205426216125,0.20831941068172455,-0.00815761648118496,-9.758982196217403e-05,-0.1450725644826889,0.0,"(0.0, 0.0)",True,False,1.5,1.5,1.0,0.12999999523162842,0.12999999523162842,0.10000000149011612
