Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,rpm_0,rpm_1,rpm_2,rpm_3,aux.current_yaw,aux.kf_correction,aux.angle_corrections,aux.enable_motors,aux.use_external_yaw
1642435551.7507246,10927,1642435551,326239032,,9256.0,8384.0,8668.0,9376.0,0.0,0.0,"(0.0, 0.0)",False,False
1642435551.7507486,10928,1642435551,336489085,,9252.0,8388.0,8688.0,9384.0,0.0,0.0,"(0.0, 0.0)",False,False
1642435551.7507668,10929,1642435551,346531064,,9272.0,8376.0,8716.0,9360.0,0.0,0.0,"(0.0, 0.0)",False,False
1642435551.7507958,10930,1642435551,356223355,,9280.0,8368.0,8696.0,9332.0,0.0,0.0,"(0.0, 0.0)",False,False
1642435551.750811,10931,1642435551,366338094,,9224.0,8340.0,8720.0,9428.0,0.0,0.0,"(0.0, 0.0)",False,False
1642435551.7508247,10932,1642435551,376225542,,9220.0,8364.0,8676.0,9420.0,0.0,0.0,"(0.0, 0.0)",False,False
1642435551.7508557,10933,1642435551,386179553,,9196.0,8344.0,8704.0,9396.0,0.0,0.0,"(0.0, 0.0)",False,False
1642435551.7508786,10934,1642435551,396218667,,9208.0,8352.0,8676.0,9416.0,0.0,0.0,"(0.0, 0.0)",False,False
1642435551.7508998,10935,1642435551,406192521,,9212.0,8332.0,8664.0,9372.0,0.0,0.0,"(0.0, 0.0)",False,False
1642435551.7509227,10936,1642435551,416234709,,9220.0,8324.0,8676.0,9344.0,0.0,0.0,"(0.0, 0.0)",False,False
1642435551.753995,10937,1642435551,426190959,,9288.0,8388.0,8664.0,9444.0,0.0,0.0,"(0.0, 0.0)",False,False
1642435551.754008,10938,1642435551,437428095,,9320.0,8404.0,8652.0,9364.0,0.0,0.0,"(0.0, 0.0)",False,False
1642435551.7540212,10939,1642435551,446204084,,9340.0,8396.0,8620.0,9348.0,0.0,0.0,"(0.0, 0.0)",False,False
1642435551.754036,10940,1642435551,456213511,,9300.0,8408.0,8632.0,9348.0,0.0,0.0,"(0.0, 0.0)",False,False
1642435551.754053,10941,1642435551,466209084,,9268.0,8380.0,8692.0,9400.0,0.0,0.0,"(0.0, 0.0)",False,False
1642435551.7540653,10942,1642435551,476280021,,9224.0,8360.0,8708.0,9396.0,0.0,0.0,"(0.0, 0.0)",False,False
1642435551.7540865,10943,1642435551,486194344,,9196.0,8304.0,8700.0,9440.0,0.0,0.0,"(0.0, 0.0)",False,False
1642435551.7541027,10944,1642435551,496186271,,9168.0,8316.0,8724.0,9436.0,0.0,0.0,"(0.0, 0.0)",False,False
1642435551.7541156,10945,1642435551,506218771,,9256.0,8316.0,8676.0,9392.0,0.0,0.0,"(0.0, 0.0)",False,False
1642435551.754184,10946,1642435551,516183511,,9216.0,8312.0,8692.0,9380.0,0.0,0.0,"(0.0, 0.0)",False,False
1642435551.7542448,10947,1642435551,526169761,,9192.0,8340.0,8716.0,9408.0,0.0,0.0,"(0.0, 0.0)",False,False
1642435551.7542903,10948,1642435551,536677730,,9212.0,8304.0,8680.0,9340.0,0.0,0.0,"(0.0, 0.0)",False,False
1642435551.7543929,10949,1642435551,546310073,,9316.0,8344.0,8648.0,9356.0,0.0,0.0,"(0.0, 0.0)",False,False
1642435551.7545397,10950,1642435551,556199709,,9320.0,8388.0,8640.0,9316.0,0.0,0.0,"(0.0, 0.0)",False,False
1642435551.7545843,10951,1642435551,566286844,,9292.0,8336.0,8584.0,9304.0,0.0,0.0,"(0.0, 0.0)",False,False
1642435551.7546136,10952,1642435551,576413407,,9244.0,8388.0,8620.0,9336.0,0.0,0.0,"(0.0, 0.0)",False,False
1642435551.7546477,10953,1642435551,586295125,,9252.0,8384.0,8648.0,9376.0,0.0,0.0,"(0.0, 0.0)",False,False
